game_id,season,week,date,home_team,away_team,home_score,away_score,Winner,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_td,home_pass_int,home_pass_sacked,home_pass_sacked_yds,home_rush_att,home_rush_yds,home_rush_td,home_first_down,home_penalties,home_penalties_yds,home_fumbles_lost,home_plays_offense,home_fga,home_fgm,home_xpa,home_xpm,home_punt,home_punt_yds,home_turnovers,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_td,away_pass_int,away_pass_sacked,away_pass_sacked_yds,away_rush_att,away_rush_yds,away_rush_td,away_first_down,away_penalties,away_penalties_yds,away_fumbles_lost,away_plays_offense,away_fga,away_fgm,away_xpa,away_xpm,away_punt,away_punt_yds,away_turnovers,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface,temp,wind,game_type,weekday,gametime,location,home_coach,away_coach,referee
2014_15_NO_CHI,2014,15,12/15/2014,CHI,NO,15,31,NO,17,39,194,2,3,7,0,20,125,0,16,5,32,0,78,0,0,1,1,0,0,3,29,38,375,3,0,2,0,26,83,1,25,7,67,1,87,2,1,4,4,0,0,1,-3,53.5,159,-177,Soldier Field,outdoors,grass,44,5,REG,Monday,20:30,Home,Marc Trestman,Sean Payton,Carl Cheffers
2014_16_TEN_JAX,2014,16,12/18/2014,JAX,TEN,21,13,JAX,14,31,124,1,0,4,0,25,177,2,16,8,62,0,75,0,0,3,3,0,0,0,24,39,287,1,0,4,0,28,95,0,19,2,10,0,85,2,2,1,1,0,0,0,4,39,-196,176,EverBank Field,outdoors,grass,58,2,REG,Thursday,20:25,Home,Gus Bradley,Ken Whisenhunt,Clete Blakeman
2014_16_PHI_WAS,2014,16,12/20/2014,WAS,PHI,27,24,WAS,16,25,220,0,1,2,0,29,100,3,20,9,62,1,73,2,2,3,3,0,0,2,37,53,374,2,1,3,0,31,134,1,30,7,55,1,109,3,1,3,3,0,0,2,-7,51,277,-315,FedExField,outdoors,grass,37,0,REG,Saturday,16:25,Home,Jay Gruden,Chip Kelly,Carl Cheffers
2014_16_SD_SF,2014,16,12/20/2014,SF,SD,35,38,SD,15,26,114,1,0,2,0,40,355,3,21,10,83,3,95,1,0,5,5,0,0,3,,,,,,,,,,,,,,,,,,,,,,,2,40.5,-128,116,Levi's Stadium,outdoors,grass,61,5,REG,Saturday,20:25,Home,Jim Harbaugh,Mike McCoy,Jeff Triplette
2014_16_CLE_CAR,2014,16,12/21/2014,CAR,CLE,17,13,CAR,18,32,201,1,1,1,0,45,209,1,27,7,53,0,93,2,1,2,2,0,0,1,10,24,166,1,1,3,0,22,84,0,8,4,45,1,62,2,2,1,1,0,0,2,6,40,-236,211,Bank of America Stadium,outdoors,grass,48,3,REG,Sunday,13:00,Home,Ron Rivera,Mike Pettine,Ed Hochuli
2014_16_DET_CHI,2014,16,12/21/2014,CHI,DET,14,20,DET,23,41,181,2,1,2,0,22,64,0,17,7,70,1,81,0,0,2,2,0,0,2,22,43,243,0,2,4,0,26,138,2,22,5,76,0,85,3,2,2,2,0,0,2,-10,44.5,354,-410,Soldier Field,outdoors,grass,36,13,REG,Sunday,13:00,Home,Marc Trestman,Jim Caldwell,Gene Steratore
2014_16_BAL_HOU,2014,16,12/21/2014,HOU,BAL,25,13,HOU,21,43,190,1,1,0,0,38,123,0,17,7,55,0,107,6,6,1,1,0,0,1,21,53,195,2,3,2,0,16,33,0,15,7,70,0,92,0,0,1,1,0,0,3,-6,42,216,-242,NRG Stadium,closed,grass,,,REG,Sunday,13:00,Home,Bill O'Brien,John Harbaugh,Walt Coleman
2014_16_MIN_MIA,2014,16,12/21/2014,MIA,MIN,37,35,MIA,35,48,396,4,1,1,0,29,110,1,36,10,87,1,104,1,0,5,5,0,0,2,19,30,259,2,1,4,0,29,119,2,20,5,41,0,79,2,2,3,3,0,0,1,4.5,42,-225,201,Sun Life Stadium,outdoors,grass,80,9,REG,Sunday,13:00,Home,Joe Philbin,Mike Zimmer,Tony Corrente
2014_16_ATL_NO,2014,16,12/21/2014,NO,ATL,14,30,ATL,30,52,313,1,2,5,0,18,57,1,22,5,45,2,86,0,0,2,2,0,0,4,30,40,322,1,0,0,0,22,81,1,18,4,44,0,80,3,3,3,3,0,0,0,6,56,-233,208,Mercedes-Benz Superdome,dome,sportturf,,,REG,Sunday,13:00,Home,Sean Payton,Mike Smith,John Parry
2014_16_NE_NYJ,2014,16,12/21/2014,NYJ,NE,16,17,NE,17,29,210,1,1,2,0,32,116,0,16,2,15,0,77,4,3,1,1,0,0,1,23,39,182,1,1,4,0,24,85,1,19,5,37,0,80,1,1,2,2,0,0,1,-10,47,385,-450,MetLife Stadium,outdoors,fieldturf,34,9,REG,Sunday,13:00,Home,Rex Ryan,Bill Belichick,Brad Allen
2014_16_KC_PIT,2014,16,12/21/2014,PIT,KC,20,12,PIT,18,26,220,1,0,1,0,26,68,1,19,5,49,0,68,2,2,2,2,0,0,0,32,52,317,0,0,6,0,14,39,0,21,3,30,1,79,4,4,0,0,0,0,1,2.5,49.5,-134,121,Heinz Field,outdoors,grass,36,1,REG,Sunday,13:00,Home,Mike Tomlin,Andy Reid,Ronald Torbert
2014_16_GB_TB,2014,16,12/21/2014,TB,GB,3,20,GB,12,33,147,0,1,7,0,14,16,0,6,4,40,0,64,1,1,0,0,0,0,1,31,41,318,1,0,1,0,31,121,1,23,4,30,1,85,3,2,2,2,0,0,1,-11.5,48.5,520,-630,Raymond James Stadium,outdoors,grass,75,7,REG,Sunday,13:00,Home,Lovie Smith,Mike McCarthy,Terry McAulay
2014_16_NYG_STL,2014,16,12/21/2014,STL,NYG,27,37,NYG,,,,,,,,,,,,,,,,,,,,,,,25,33,391,3,0,1,0,34,128,1,19,10,104,0,90,4,3,4,4,0,0,0,7,43.5,-290,256,Edward Jones Dome,dome,astroplay,,,REG,Sunday,16:05,Home,Jeff Fisher,Tom Coughlin,Peter Morelli
2014_16_IND_DAL,2014,16,12/21/2014,DAL,IND,42,7,DAL,19,22,261,5,0,1,0,40,127,1,25,4,30,1,77,1,0,6,6,0,0,1,30,46,235,1,2,2,0,10,1,0,17,11,92,1,81,0,0,1,1,0,0,3,3.5,53,-178,160,AT&T Stadium,closed,matrixturf,,,REG,Sunday,16:25,Home,Jason Garrett,Chuck Pagano,Bill Leavy
2014_16_BUF_OAK,2014,16,12/21/2014,OAK,BUF,26,24,OAK,,,,,,,,,,,,,,,,,,,,,,,32,51,329,3,2,2,0,13,13,0,15,7,50,0,90,1,1,3,3,0,0,2,-7,42,256,-290,O.co Coliseum,outdoors,grass,64,10,REG,Sunday,16:25,Home,Tony Sparano,Doug Marrone,Craig Wrolstad
2014_16_SEA_ARI,2014,16,12/21/2014,ARI,SEA,6,35,SEA,18,49,216,0,1,4,0,15,29,0,17,9,87,0,88,2,2,0,0,0,0,1,21,33,339,2,0,1,0,34,267,3,23,3,15,0,87,3,0,5,5,0,0,0,-9.5,36.5,338,-390,University of Phoenix Stadium,closed,grass,,,REG,Sunday,20:30,Home,Bruce Arians,Pete Carroll,Walt Anderson
2014_16_DEN_CIN,2014,16,12/22/2014,CIN,DEN,37,28,CIN,17,25,146,2,1,0,0,37,207,1,20,7,65,1,86,3,3,4,4,0,0,2,28,46,311,2,4,2,0,19,85,1,22,6,52,0,89,1,0,4,4,0,0,4,-3.5,47,171,-190,Paul Brown Stadium,outdoors,fieldturf,47,8,REG,Monday,20:30,Home,Marvin Lewis,John Fox,Bill Vinovich
