game_id,season,week,date,home_team,away_team,home_score,away_score,Winner,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_td,home_pass_int,home_pass_sacked,home_pass_sacked_yds,home_rush_att,home_rush_yds,home_rush_td,home_first_down,home_penalties,home_penalties_yds,home_fumbles_lost,home_plays_offense,home_fga,home_fgm,home_xpa,home_xpm,home_punt,home_punt_yds,home_turnovers,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_td,away_pass_int,away_pass_sacked,away_pass_sacked_yds,away_rush_att,away_rush_yds,away_rush_td,away_first_down,away_penalties,away_penalties_yds,away_fumbles_lost,away_plays_offense,away_fga,away_fgm,away_xpa,away_xpm,away_punt,away_punt_yds,away_turnovers,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface,temp,wind,game_type,weekday,gametime,location,home_coach,away_coach,referee
2014_02_NO_CLE,2014,2,2014-09-14,CLE,NO,26.0,24.0,CLE,24.0,42.0,204.0,1.0,0.0,1.0,0.0,31.0,122.0,1.0,23.0,6.0,54.0,0.0,93.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,27.0,42.0,237.0,2.0,1.0,2.0,0.0,27.0,174.0,1.0,26.0,3.0,15.0,1.0,89.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,-4.5,49.5,197.0,-220.0,FirstEnergy Stadium,outdoors,grass,61.0,6.0,REG,Sunday,13:00,Home,Mike Pettine,Sean Payton,Craig Wrolstad
2014_02_NE_MIN,2014,2,2014-09-14,MIN,NE,7.0,30.0,NE,19.0,42.0,202.0,1.0,4.0,6.0,0.0,19.0,54.0,0.0,17.0,13.0,138.0,0.0,86.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,14.0,22.0,149.0,1.0,0.0,1.0,0.0,37.0,150.0,1.0,16.0,9.0,83.0,0.0,82.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,-3.5,49.0,148.0,-164.0,TCF Bank Stadium,outdoors,fieldturf,58.0,0.0,REG,Sunday,13:00,Home,Mike Zimmer,Bill Belichick,Tony Corrente
2014_02_ARI_NYG,2014,2,2014-09-14,NYG,ARI,14.0,25.0,ARI,26.0,41.0,277.0,2.0,2.0,2.0,0.0,27.0,81.0,0.0,24.0,7.0,66.0,2.0,87.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,14.0,33.0,167.0,0.0,0.0,4.0,0.0,29.0,124.0,1.0,21.0,9.0,75.0,0.0,83.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,41.5,-115.0,104.0,MetLife Stadium,outdoors,fieldturf,66.0,1.0,REG,Sunday,13:00,Home,Tom Coughlin,Bruce Arians,John Parry
2014_02_DAL_TEN,2014,2,2014-09-14,TEN,DAL,10.0,26.0,DAL,18.0,36.0,234.0,1.0,2.0,2.0,0.0,13.0,82.0,0.0,13.0,2.0,1.0,0.0,68.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,19.0,33.0,176.0,1.0,0.0,4.0,0.0,43.0,220.0,1.0,26.0,7.0,54.0,1.0,95.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,49.5,-167.0,151.0,LP Field,outdoors,grass,75.0,2.0,REG,Sunday,13:00,Home,Ken Whisenhunt,Jason Garrett,Walt Coleman
2014_02_JAX_WAS,2014,2,2014-09-14,WAS,JAX,41.0,10.0,WAS,24.0,39.0,288.0,2.0,0.0,3.0,0.0,42.0,191.0,3.0,32.0,10.0,89.0,0.0,104.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,14.0,38.0,193.0,1.0,1.0,10.0,0.0,10.0,25.0,0.0,8.0,7.0,53.0,0.0,71.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,43.0,-220.0,197.0,FedExField,outdoors,grass,65.0,6.0,REG,Sunday,13:00,Home,Jay Gruden,Gus Bradley,Ronald Torbert
2014_02_SEA_SD,2014,2,2014-09-14,SD,SEA,30.0,21.0,SD,,,,,,,,,,,,,,,,,,,,,,,17.0,27.0,202.0,2.0,0.0,2.0,0.0,13.0,108.0,1.0,14.0,6.0,35.0,1.0,58.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,-4.5,45.0,201.0,-225.0,Qualcomm Stadium,outdoors,grass,94.0,8.0,REG,Sunday,16:05,Home,Mike McCoy,Pete Carroll,Peter Morelli
2014_02_STL_TB,2014,2,2014-09-14,TB,STL,17.0,19.0,STL,16.0,22.0,179.0,0.0,1.0,1.0,0.0,30.0,157.0,2.0,18.0,6.0,75.0,0.0,72.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,37.5,-205.0,184.0,Raymond James Stadium,outdoors,grass,88.0,8.0,REG,Sunday,16:05,Home,Lovie Smith,Jeff Fisher,Jeff Triplette
2014_02_KC_DEN,2014,2,2014-09-14,DEN,KC,24.0,17.0,DEN,21.0,27.0,242.0,3.0,0.0,1.0,0.0,19.0,88.0,0.0,19.0,6.0,52.0,0.0,65.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,26.0,44.0,255.0,0.0,0.0,2.0,0.0,31.0,133.0,2.0,28.0,12.0,81.0,0.0,98.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,13.0,49.0,-900.0,704.0,Sports Authority Field at Mile High,outdoors,grass,85.0,7.0,REG,Sunday,16:25,Home,John Fox,Andy Reid,Gene Steratore
2014_02_NYJ_GB,2014,2,2014-09-14,GB,NYJ,31.0,24.0,GB,25.0,47.0,346.0,3.0,0.0,4.0,0.0,22.0,80.0,0.0,24.0,7.0,92.0,1.0,88.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,16.0,34.0,176.0,1.0,1.0,2.0,0.0,37.0,110.0,2.0,19.0,3.0,24.0,0.0,89.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,7.0,46.5,-310.0,273.0,Lambeau Field,outdoors,grass,63.0,15.0,REG,Sunday,16:25,Home,Mike McCarthy,Rex Ryan,Walt Anderson
2014_02_HOU_OAK,2014,2,2014-09-14,OAK,HOU,14.0,30.0,HOU,,,,,,,,,,,,,,,,,,,,,,,14.0,19.0,139.0,2.0,0.0,0.0,0.0,46.0,188.0,1.0,20.0,8.0,58.0,0.0,88.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,-3.0,41.0,140.0,-155.0,O.co Coliseum,outdoors,grass,67.0,16.0,REG,Sunday,16:25,Home,Dennis Allen,Bill O'Brien,Brad Allen
2014_02_CHI_SF,2014,2,2014-09-14,SF,CHI,20.0,28.0,CHI,21.0,38.0,248.0,1.0,3.0,4.0,0.0,27.0,127.0,1.0,19.0,12.0,78.0,1.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,23.0,35.0,176.0,4.0,0.0,1.0,0.0,17.0,46.0,0.0,19.0,14.0,98.0,0.0,81.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,47.0,-300.0,264.0,Levi's Stadium,outdoors,grass,78.0,10.0,REG,Sunday,20:30,Home,Jim Harbaugh,Marc Trestman,Carl Cheffers
2014_02_PHI_IND,2014,2,2014-09-15,IND,PHI,27.0,30.0,PHI,20.0,34.0,172.0,3.0,1.0,0.0,0.0,38.0,169.0,0.0,24.0,7.0,60.0,1.0,93.0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,21.0,37.0,331.0,1.0,1.0,0.0,0.0,27.0,127.0,2.0,24.0,8.0,100.0,0.0,87.0,4.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,53.5,-146.0,132.0,Lucas Oil Stadium,closed,fieldturf,,,REG,Monday,20:30,Home,Chuck Pagano,Chip Kelly,Terry McAulay
2014_03_TB_ATL,2014,3,2014-09-18,ATL,TB,56.0,14.0,ATL,24.0,29.0,350.0,3.0,1.0,1.0,0.0,36.0,144.0,3.0,26.0,7.0,45.0,3.0,87.0,1.0,0.0,8.0,8.0,0.0,0.0,4.0,22.0,39.0,179.0,1.0,1.0,3.0,0.0,18.0,64.0,0.0,10.0,9.0,115.0,3.0,81.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,6.5,47.0,-277.0,245.0,Georgia Dome,dome,fieldturf,,,REG,Thursday,20:25,Home,Mike Smith,Lovie Smith,Craig Wrolstad
2014_03_SD_BUF,2014,3,2014-09-21,BUF,SD,10.0,22.0,SD,23.0,43.0,238.0,1.0,0.0,3.0,0.0,22.0,87.0,0.0,18.0,8.0,68.0,0.0,85.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5,45.5,-130.0,118.0,Ralph Wilson Stadium,outdoors,a_turf,72.0,24.0,REG,Sunday,13:00,Home,Doug Marrone,Mike McCoy,John Parry
2014_03_TEN_CIN,2014,3,2014-09-21,CIN,TEN,33.0,7.0,CIN,17.0,26.0,184.0,1.0,1.0,0.0,0.0,31.0,116.0,3.0,25.0,8.0,75.0,0.0,75.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,17.0,36.0,185.0,0.0,2.0,2.0,0.0,28.0,149.0,1.0,20.0,10.0,74.0,0.0,88.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,6.5,44.5,-265.0,235.0,Paul Brown Stadium,outdoors,fieldturf,74.0,20.0,REG,Sunday,13:00,Home,Marvin Lewis,Ken Whisenhunt,Brad Allen
2014_03_BAL_CLE,2014,3,2014-09-21,CLE,BAL,21.0,23.0,BAL,19.0,25.0,290.0,1.0,0.0,0.0,0.0,30.0,85.0,2.0,19.0,8.0,62.0,0.0,77.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,19.0,31.0,217.0,1.0,1.0,0.0,0.0,33.0,160.0,1.0,22.0,9.0,64.0,0.0,84.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,-2.0,43.0,111.0,-123.0,FirstEnergy Stadium,outdoors,grass,71.0,23.0,REG,Sunday,13:00,Home,Mike Pettine,John Harbaugh,Bill Leavy
2014_03_GB_DET,2014,3,2014-09-21,DET,GB,19.0,7.0,DET,22.0,36.0,246.0,0.0,2.0,2.0,0.0,38.0,115.0,1.0,21.0,4.0,30.0,1.0,87.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,16.0,29.0,162.0,1.0,0.0,2.0,0.0,22.0,76.0,0.0,14.0,7.0,40.0,1.0,66.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.5,51.0,-123.0,111.0,Ford Field,dome,fieldturf,,,REG,Sunday,13:00,Home,Jim Caldwell,Mike McCarthy,Carl Cheffers
